time,precip_mm
2012-10-01,0.0
2012-10-02,0.0
2012-10-03,0.0
2012-10-04,0.0
2012-10-05,0.0
2012-10-06,0.0
2012-10-07,0.0
2012-10-08,0.0
2012-10-09,0.0
2012-10-10,0.0
2012-10-11,0.0
2012-10-12,0.0
2012-10-13,0.762
2012-10-14,0.0
2012-10-15,0.0
2012-10-16,1.778
2012-10-17,0.0
2012-10-18,0.0
2012-10-19,0.0
2012-10-20,0.0
2012-10-21,4.8260000000000005
2012-10-22,25.654
2012-10-23,22.352
2012-10-24,5.588
2012-10-25,0.0
2012-10-26,0.0
2012-10-27,0.0
2012-10-28,0.0
2012-10-29,0.0
2012-10-30,0.508
2012-10-31,27.94
2012-11-01,3.048
2012-11-02,0.0
2012-11-03,0.0
2012-11-04,0.254
2012-11-05,0.0
2012-11-06,0.254
2012-11-07,0.0
2012-11-08,12.192
2012-11-09,4.8260000000000005
2012-11-10,0.0
2012-11-11,0.0
2012-11-12,1.27
2012-11-13,9.906
2012-11-14,0.0
2012-11-15,0.254
2012-11-16,4.064
2012-11-17,53.848
2012-11-18,4.318
2012-11-19,11.176
2012-11-20,56.896
2012-11-21,18.034
2012-11-22,0.0
2012-11-23,0.254
2012-11-24,0.0
2012-11-25,0.0
2012-11-26,0.254
2012-11-27,0.0
2012-11-28,34.544
2012-11-29,89.408
2012-11-30,17.272
2012-12-01,52.832
2012-12-02,95.504
2012-12-03,1.016
2012-12-04,59.944
2012-12-05,7.112
2012-12-06,0.762
2012-12-07,0.0
2012-12-08,0.0
2012-12-09,0.0
2012-12-10,0.254
2012-12-11,7.366
2012-12-12,0.0
2012-12-13,0.254
2012-12-14,0.0
2012-12-15,8.382
2012-12-16,50.038000000000004
2012-12-17,23.368000000000002
2012-12-18,0.0
2012-12-19,0.762
2012-12-20,79.502
2012-12-21,28.956
2012-12-22,22.86
2012-12-23,47.498
2012-12-24,0.0
2012-12-25,36.068
2012-12-26,9.906
2012-12-27,0.0
2012-12-28,4.318
2012-12-29,0.0
2012-12-30,0.0
2012-12-31,0.0
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,4.8260000000000005
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,4.8260000000000005
2013-01-10,1.016
2013-01-11,0.254
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.254
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.254
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.254
2013-01-21,0.0
2013-01-22,0.254
2013-01-23,18.288
2013-01-24,0.0
2013-01-25,0.508
2013-01-26,1.27
2013-01-27,0.0
2013-01-28,0.508
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,0.254
2013-02-07,17.018
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.254
2013-02-12,0.0
2013-02-13,0.0
2013-02-14,0.0
2013-02-15,0.254
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,18.542
2013-02-20,0.0
2013-02-21,0.0
2013-02-22,1.016
2013-02-23,0.762
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,1.524
2013-02-28,0.762
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.508
2013-03-04,0.0
2013-03-05,56.134
2013-03-06,29.464
2013-03-07,0.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,0.0
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,9.652000000000001
2013-03-20,47.498
2013-03-21,0.0
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,1.016
2013-03-26,0.0
2013-03-27,2.286
2013-03-28,1.016
2013-03-29,0.0
2013-03-30,2.286
2013-03-31,6.35
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.254
2013-04-04,40.132
2013-04-05,9.906
2013-04-06,11.176
2013-04-07,19.05
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,0.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,0.762
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,0.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,0.0
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,0.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,2.794
2013-05-07,0.254
2013-05-08,0.0
2013-05-09,0.0
2013-05-10,0.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,0.0
2013-05-24,0.0
2013-05-25,0.0
2013-05-26,0.508
2013-05-27,16.002
2013-05-28,1.778
2013-05-29,1.016
2013-05-30,0.0
2013-05-31,0.0
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,0.0
2013-06-04,0.0
2013-06-05,0.0
2013-06-06,0.0
2013-06-07,0.0
